Hospital,Date,Admission,Cluster
AH,2016-01-01,75,NUHS
AH,2016-02-01,81,NUHS
AH,2016-03-01,114,NUHS
AH,2016-04-01,182,NUHS
AH,2016-05-01,207,NUHS
AH,2016-06-01,397,NUHS
AH,2016-07-01,442,NUHS
AH,2016-08-01,461,NUHS
AH,2016-09-01,354,NUHS
AH,2016-10-01,293,NUHS
AH,2016-11-01,261,NUHS
AH,2016-12-01,291,NUHS
AH,2017-01-01,272,NUHS
AH,2017-02-01,372,NUHS
AH,2017-03-01,525,NUHS
AH,2017-04-01,527,NUHS
AH,2017-05-01,765,NUHS
AH,2017-06-01,700,NUHS
AH,2017-07-01,633,NUHS
AH,2017-08-01,598,NUHS
AH,2017-09-01,485,NUHS
AH,2017-10-01,557,NUHS
AH,2017-11-01,523,NUHS
AH,2017-12-01,511,NUHS
AH,2018-01-01,642,NUHS
AH,2018-02-01,518,NUHS
AH,2018-03-01,542,NUHS
AH,2018-04-01,449,NUHS
AH,2018-05-01,279,NUHS
AH,2018-06-01,323,NUHS
AH,2018-07-01,518,NUHS
AH,2018-08-01,472,NUHS
AH,2018-09-01,439,NUHS
AH,2018-10-01,525,NUHS
AH,2018-11-01,513,NUHS
AH,2018-12-01,601,NUHS
AH,2019-01-01,510,NUHS
AH,2019-02-01,425,NUHS
AH,2019-03-01,488,NUHS
AH,2019-04-01,462,NUHS
AH,2019-05-01,533,NUHS
AH,2019-06-01,527,NUHS
AH,2019-07-01,574,NUHS
AH,2019-08-01,499,NUHS
AH,2019-09-01,499,NUHS
AH,2019-10-01,575,NUHS
AH,2019-11-01,691,NUHS
AH,2019-12-01,736,NUHS
AH,2020-01-01,648,NUHS
AH,2020-02-01,667,NUHS
AH,2020-03-01,727,NUHS
AH,2020-04-01,770,NUHS
AH,2020-05-01,933,NUHS
AH,2020-06-01,621,NUHS
AH,2020-07-01,737,NUHS
AH,2020-08-01,681,NUHS
AH,2020-09-01,678,NUHS
AH,2020-10-01,789,NUHS
AH,2020-11-01,787,NUHS
AH,2020-12-01,859,NUHS
AH,2021-01-01,760,NUHS
AH,2021-02-01,602,NUHS
CGH,2016-01-01,3977,SHS
CGH,2016-02-01,3747,SHS
CGH,2016-03-01,4043,SHS
CGH,2016-04-01,4065,SHS
CGH,2016-05-01,4025,SHS
CGH,2016-06-01,4010,SHS
CGH,2016-07-01,4212,SHS
CGH,2016-08-01,4269,SHS
CGH,2016-09-01,3978,SHS
CGH,2016-10-01,4084,SHS
CGH,2016-11-01,4147,SHS
CGH,2016-12-01,4208,SHS
CGH,2017-01-01,4017,SHS
CGH,2017-02-01,3958,SHS
CGH,2017-03-01,4416,SHS
CGH,2017-04-01,4045,SHS
CGH,2017-05-01,4340,SHS
CGH,2017-06-01,4250,SHS
CGH,2017-07-01,4309,SHS
CGH,2017-08-01,4382,SHS
CGH,2017-09-01,4139,SHS
CGH,2017-10-01,4327,SHS
CGH,2017-11-01,4359,SHS
CGH,2017-12-01,4287,SHS
CGH,2018-01-01,4385,SHS
CGH,2018-02-01,3824,SHS
CGH,2018-03-01,4463,SHS
CGH,2018-04-01,4192,SHS
CGH,2018-05-01,4302,SHS
CGH,2018-06-01,4251,SHS
CGH,2018-07-01,4494,SHS
CGH,2018-08-01,4291,SHS
CGH,2018-09-01,4032,SHS
CGH,2018-10-01,4237,SHS
CGH,2018-11-01,4271,SHS
CGH,2018-12-01,4213,SHS
CGH,2019-01-01,4348,SHS
CGH,2019-02-01,3653,SHS
CGH,2019-03-01,4223,SHS
CGH,2019-04-01,4231,SHS
CGH,2019-05-01,4349,SHS
CGH,2019-06-01,4064,SHS
CGH,2019-07-01,4385,SHS
CGH,2019-08-01,4341,SHS
CGH,2019-09-01,4028,SHS
CGH,2019-10-01,4466,SHS
CGH,2019-11-01,4423,SHS
CGH,2019-12-01,4762,SHS
CGH,2020-01-01,4486,SHS
CGH,2020-02-01,3713,SHS
CGH,2020-03-01,3957,SHS
CGH,2020-04-01,3931,SHS
CGH,2020-05-01,3850,SHS
CGH,2020-06-01,4105,SHS
CGH,2020-07-01,4518,SHS
CGH,2020-08-01,4257,SHS
CGH,2020-09-01,4060,SHS
CGH,2020-10-01,4611,SHS
CGH,2020-11-01,4262,SHS
CGH,2020-12-01,4508,SHS
CGH,2021-01-01,4264,SHS
CGH,2021-02-01,3880,SHS
KTPH,2016-01-01,3214,NHG
KTPH,2016-02-01,3033,NHG
KTPH,2016-03-01,3442,NHG
KTPH,2016-04-01,3272,NHG
KTPH,2016-05-01,3246,NHG
KTPH,2016-06-01,3376,NHG
KTPH,2016-07-01,3461,NHG
KTPH,2016-08-01,3621,NHG
KTPH,2016-09-01,3519,NHG
KTPH,2016-10-01,3582,NHG
KTPH,2016-11-01,3696,NHG
KTPH,2016-12-01,3840,NHG
KTPH,2017-01-01,3607,NHG
KTPH,2017-02-01,3544,NHG
KTPH,2017-03-01,4023,NHG
KTPH,2017-04-01,3904,NHG
KTPH,2017-05-01,3994,NHG
KTPH,2017-06-01,3886,NHG
KTPH,2017-07-01,3873,NHG
KTPH,2017-08-01,4027,NHG
KTPH,2017-09-01,3760,NHG
KTPH,2017-10-01,3959,NHG
KTPH,2017-11-01,4001,NHG
KTPH,2017-12-01,4032,NHG
KTPH,2018-01-01,4003,NHG
KTPH,2018-02-01,3581,NHG
KTPH,2018-03-01,4109,NHG
KTPH,2018-04-01,3862,NHG
KTPH,2018-05-01,4078,NHG
KTPH,2018-06-01,3812,NHG
KTPH,2018-07-01,3946,NHG
KTPH,2018-08-01,3899,NHG
KTPH,2018-09-01,3650,NHG
KTPH,2018-10-01,3777,NHG
KTPH,2018-11-01,3572,NHG
KTPH,2018-12-01,3561,NHG
KTPH,2019-01-01,3652,NHG
KTPH,2019-02-01,3313,NHG
KTPH,2019-03-01,3796,NHG
KTPH,2019-04-01,3621,NHG
KTPH,2019-05-01,3876,NHG
KTPH,2019-06-01,3669,NHG
KTPH,2019-07-01,3946,NHG
KTPH,2019-08-01,3709,NHG
KTPH,2019-09-01,3498,NHG
KTPH,2019-10-01,3765,NHG
KTPH,2019-11-01,3757,NHG
KTPH,2019-12-01,3920,NHG
KTPH,2020-01-01,3887,NHG
KTPH,2020-02-01,3100,NHG
KTPH,2020-03-01,3170,NHG
KTPH,2020-04-01,3198,NHG
KTPH,2020-05-01,3111,NHG
KTPH,2020-06-01,2910,NHG
